MR32 ASCII
Name	Post fatigue 
Frequency	1500
Date	22-05-2023 12:05:53
"Time,s"	"RT RECTUS FEM.,uV"	"RT BICEPS FEM.,uV"	"RT LAT. GASTRO,uV"	"LT RECTUS FEM.,uV"	"LT TIB.ANT.,uV"	"LT BICEPS FEM.,uV"	"LT LAT. GASTRO,uV"	"RT TIB.ANT.,uV"
0.0000	0.230104	-15.1413	-10.9558	-0.778598	-9.5296	2.04124	3.33449	-0.647129
0.0007	-1.29483	-13.2844	-14.3233	-1.0793	-1.29248	0.828866	6.44163	-3.08515
0.0013	-1.29483	-11.1703	-12.7967	0.139611	-2.21843	2.04124	9.16984	-4.30416
0.0020	1.45083	-9.02765	-10.9558	1.35852	-2.81644	3.26598	9.16984	-4.00317
0.0027	2.67155	-9.62759	-5.16359	-0.472529	1.4468	0.519587	5.83536	-4.00317
0.0033	1.14662	-8.7134	6.42081	-0.472529	-3.12509	-1.62062	1.51568	-2.16713
0.0040	2.06314	-1.39986	11.8987	0.75175	-16.5514	1.12577	-1.21254	-3.08515
0.0047	3.58807	1.34272	1.84093	-1.69144	-22.3579	2.04124	-1.21254	-10.1133
0.0053	0.230104	-8.7134	-11.2701	-1.99751	-20.5253	-0.395876	-2.42508	-13.4693
0.0060	-1.29483	-15.1413	-10.0578	-0.472529	-18.6927	-0.395876	-8.56357	-9.19525
0.0067	1.75503	-11.456	-5.47789	-1.69144	-15.6447	-0.0865979	-17.6576	-4.00317
0.0073	2.06314	-9.02765	-14.6377	-1.38537	-10.4555	-1.00206	-19.2491	-3.70218
0.0080	0.230104	-11.1703	-20.7442	1.05245	-6.17302	-0.705154	-11.2918	-3.70218
0.0087	1.14662	-17.8839	-6.1065	-0.778598	-5.88366	-1.31134	-0.606271	-0.346139
0.0093	0.842416	-30.0827	12.5273	-2.60965	-9.83825	-3.14227	9.47298	4.22891
0.0100	-0.686413	-36.7963	17.6909	-0.472529	-10.4555	-1.31134	11.5949	9.421
0.0107	0.53431	-36.1963	15.2663	-0.778598	-5.57501	0.519587	-3.94076	14.3121
0.0113	1.14662	-32.2253	13.7396	-1.99751	-4.05104	-1.31134	-21.9773	13.996
0.0120	-0.0741014	-21.5407	15.5806	-0.778598	-6.17302	0.519587	-18.3397	6.06495
0.0127	-0.686413	-14.1986	14.952	-1.38537	-5.88366	3.26598	-3.63762	0.872872
0.0133	-0.990619	-16.9697	7.94744	-2.60965	-4.95771	-0.395876	-4.54703	3.32594
0.0140	-1.29483	-10.5418	1.84093	-0.778598	-6.79032	-1.91753	-17.3545	6.06495
0.0147	-1.59903	3.17111	1.84093	-0.166459	-10.4555	2.35051	-21.0679	5.14693
0.0153	-1.90714	4.0853	2.15524	-1.38537	-14.1208	1.43505	-11.2918	2.40792
0.0160	-0.0741014	4.99949	-1.84093	0.139611	-15.3361	-1.00206	1.51568	-2.16713
0.0167	2.06314	11.7131	-8.84545	1.97066	-13.8121	2.65979	6.44163	-4.92119
0.0173	1.75503	4.0853	-10.0578	1.97066	-12.5968	2.65979	5.22908	-6.75723
0.0180	-0.378307	-8.42771	-3.95127	2.27673	-10.4555	-1.62062	3.94076	-11.6333
0.0187	-1.59903	-6.28507	-5.47789	2.5828	-8.62294	-0.0865979	4.92595	-15.2903
0.0193	-3.43207	6.85645	-15.5357	1.66459	-10.4555	2.65979	9.77612	-13.1533
0.0200	-2.51555	29.1113	-13.7396	1.05245	-11.0729	1.74433	14.3231	-9.79723
0.0207	-0.0741014	46.2239	-1.52663	1.35852	-7.71627	1.43505	13.4137	-5.52317
0.0213	-0.0741014	44.6812	2.46954	1.66459	-5.88366	0.828866	9.77612	1.4899
0.0220	-0.686413	56.5942	-4.57988	-0.166459	-2.21843	-1.62062	11.2918	1.4899
0.0227	-0.686413	98.39	-18.5889	-1.99751	5.11203	-2.2268	15.8388	-6.75723
0.0233	-0.686413	122.188	-31.7448	-1.99751	10.6099	-3.14227	14.02	-12.2503
0.0240	-0.686413	98.39	-28.3773	-2.60965	14.2558	-6.19794	3.94076	-15.6063
0.0247	-2.21134	61.7651	-13.7396	-3.52249	15.1818	-3.74845	1.51568	-20.4824
0.0253	-4.04048	37.6533	-10.9558	-0.472529	10.3012	2.35051	14.3231	-15.9073
0.0260	-3.12786	26.683	-15.85	0.44568	6.32734	2.35051	22.2804	-2.48317
0.0267	-0.686413	26.9973	-11.2701	-3.52249	9.68392	0.519587	7.35103	4.22891
0.0273	0.230104	30.0255	0.628611	-4.13462	13.3492	2.35051	-16.142	1.4899
0.0280	1.75503	25.1689	4.26557	0.139611	12.4425	2.65979	-25.9181	-5.52317
0.0287	3.58807	18.141	-6.37591	-0.472529	5.71004	-0.0865979	-18.3397	-15.6063
0.0293	3.58807	14.7699	-17.6909	-2.91035	-2.21843	2.04124	-6.06271	-20.7834
0.0300	1.75503	11.4274	-14.3233	-1.0793	-3.12509	5.70309	-4.54703	-18.6463
0.0307	-0.990619	8.37058	-0.898015	0.139611	-0.385814	3.26598	-5.75957	-11.3323
0.0313	-2.21134	10.5132	11.8987	-2.60965	-1.90978	-1.91753	-1.21254	-0.030099
0.0320	-1.59903	14.17	24.1117	-3.52249	0.540139	-1.00206	-5.1533	8.20199
0.0327	-0.990619	16.5983	29.9039	-1.69144	8.77726	3.26598	-16.4451	5.46297
0.0333	0.53431	20.2836	27.165	-1.99751	10.6099	2.65979	-13.7169	2.40792
0.0340	2.67155	20.5693	25.6383	-3.52249	6.63599	1.12577	-4.2439	3.32594
0.0347	2.06314	11.1132	23.7974	-1.99751	6.94465	3.26598	-7.35103	1.4899
0.0353	1.45083	-3.22824	15.5806	-1.0793	7.54266	2.35051	-10.6855	1.18891
0.0360	3.28386	-13.9129	11.0007	-1.38537	4.49473	-1.00206	-5.1533	5.14693
0.0367	3.89228	-20.6265	11.8987	-0.472529	6.01869	0.519587	-1.81881	3.62693
0.0373	2.97576	-23.0548	4.26557	-1.38537	13.0405	2.35051	-4.2439	-1.26416
0.0380	2.67155	-25.1974	-4.84928	-4.13462	15.1818	0.210309	-5.75957	-2.16713
0.0387	2.97576	-30.0827	-0.898015	-3.21642	12.4425	0.519587	-2.42508	-1.56515
0.0393	2.97576	-30.9968	3.36756	-0.778598	13.3492	4.49072	2.72822	-0.346139
0.0400	2.06314	-25.5117	-0.314305	-2.60965	19.7537	2.65979	4.54703	3.32594
0.0407	0.53431	-22.1406	0	-3.52249	23.7275	-1.91753	3.63762	6.06495
0.0413	1.14662	-23.0548	3.05325	-0.472529	25.2515	-0.395876	4.2439	6.06495
0.0420	1.45083	-21.5407	2.15524	0.139611	27.3928	3.26598	6.13849	6.36594
0.0427	-2.81975	-17.8839	2.73895	-2.60965	25.2515	2.65979	7.9573	5.46297
0.0433	-5.2612	-15.427	2.46954	-2.60965	19.1556	0.519587	9.77612	5.46297
0.0440	-2.51555	-15.7413	-3.36756	-1.99751	14.5645	0.210309	10.0793	5.76396
0.0447	-0.686413	-20.6265	-6.1065	-3.21642	7.54266	0.519587	7.9573	0.270891
0.0453	-1.59903	-26.7116	-2.42464	-3.21642	-0.385814	-2.53608	2.42508	-6.1402
0.0460	-1.90714	-27.94	-2.42464	-1.38537	2.35346	-4.05773	-1.21254	-6.1402
0.0467	-1.59903	-28.2543	-4.57988	1.05245	10.3012	-2.83299	-0.303135	-5.52317
0.0473	-0.686413	-31.5968	-1.52663	1.97066	10.8992	-4.05773	-4.54703	-8.57822
